#RunNum   EventNum    x(mm)    y(mm)    z(mm)
2384 11023 -0.446573 -20.8146 -1.44935
2384 18207 -0.326782 -20.3828 -1.473
2384 18438 0.181339 -20.2341 -1.62356
2384 26128 -0.325586 -20.4324 -1.50749
2384 31754 -0.16238 -20.6178 -1.4397
2384 31940 -0.357576 -21.0266 -1.38692
2384 38143 0.00231944 -20.4688 -1.38041
2384 39714 0.305772 -20.6784 -1.37145
2384 40393 -0.0995892 -20.4127 -1.50743
2384 52431 0.337591 -20.6709 -1.45908
2384 58988 -0.597898 -20.8609 -1.5705
2384 70542 -0.331471 -20.1275 -1.35464
2384 77182 -0.0485925 -20.941 -1.44926
